ID,VALUE
0010g00001YHz3NAAT,33
0010g00001YI67FAAT,25
0010g00001YIDgUAAX,‰âÂ120
0010g00001YIdYvAAL,- $200mm
0010g00001YIyzOAAT,$1 bn
0010g00001YIzEfAAL,2 - 3 mm
0010g00001YJIPCAA5,395
0010g00001YJPVsAAP,711
0017000000NlCxVAAV,$ 630 mm
0017000000NlCzzAAF,3850
0017000000NlDDDAA3,850
0017000000NlDQVAA3,1.4
0017000000NlDWCAA3,870
0017000000NlDibAAF,Prudential raise $350 Mn fund to invest in African insurance companies.
0017000000NlDy9AAF,4335
0017000000NlE1IAAV,- $13 bn
0017000000NlE3GAAV,59
0017000000NlFU3AAN,128
0017000000NlFXAAA3,1100
0017000000NlFgGAAV,9300
0017000000NlG8XAAV,270
0017000000NlG8jAAF,84
0017000000NlGD1AAN,500
0017000000NlGD2AAN,na
0017000000NlGD4AAN,"=$2 bn= Recent London V Fund Raise $500 mn=$450M Indian Venture Capital Fund"
0017000000NlGD5AAN,303
0017000000NlGDDAA3,140
0017000000NlGDHAA3,$700 mm
0017000000NlGDLAA3,550
0017000000NlGDMAA3,550
0017000000NlGDQAA3,650
0017000000NlGDRAA3,285
0017000000NlGDTAA3,1000
0017000000NlGDUAA3,425
0017000000NlGDVAA3,"1,600"
0017000000NlGDXAA3,800
0017000000NlGDZAA3,265
0017000000NlGDaAAN,100
0017000000NlGDdAAN,375
0017000000NlGDiAAN,na
0017000000NlGDmAAN,na
0017000000NlGDoAAN,- 350 mm
0017000000NlGDuAAN,120
0017000000NlGDxAAN,- $250 mm
0017000000NlGE2AAN,-$325 mm
0017000000NlGE4AAN,735
0017000000NlGE9AAN,"7,500"
0017000000NlGECAA3,1110
0017000000NlGEEAA3,1750
0017000000NlGEGAA3,300
0017000000NlGEHAA3,-$63.7 mm
0017000000NlGEKAA3,30
0017000000NlGELAA3,- $120 mm
0017000000NlGEPAA3,4750
0017000000NlGEQAA3,1400
0017000000NlGEUAA3,650
0017000000NlGEWAA3,- $150 mm
0017000000NlGEYAA3,1000
0017000000NlGEZAA3,- $1 bn
0017000000NlGEaAAN,2500
0017000000NlGEcAAN,$1.4bn
0017000000NlGEdAAN,1600
0017000000NlGEgAAN,1650
