ID,VALUE
0017000000NlDibAAF,Prudential raise $350 Mn fund to invest in African insurance companies.
0017000000NlGD4AAN,"=$2 bn= Recent London V Fund Raise $500 mn=$450M Indian Venture Capital Fund"
0017000000NlGI6AAN,"Fund 3: 200, Special Opps Fund: 133"
0017000000NlGIbAAN,500 (2/3/14: $60mm left)
0017000000NlGehAAF,"$1,060 mm (buyout) $652 mm (growth)"
0017000000NlGgDAAV,$1.097 Bln
0017000000NlGh3AAF,"European Fund: $14,25012/18/13: Has raised $2bn towards $3.5bn target for Asian fund1800"
0017000000NlGizAAF,Has raised $72.3 million for a fund that is targeting $100 million
0017000000NsU28AAF,�150 mm (~$224 mm)
0017000000VNecVAAT,$640 million
0017000000bDj4pAAC,Operate on per-project basis
0017000000hcGidAAE,## 200mm-1bn
0017000000liXyWAAU,�63M ($95 mm)
0017000000m9l4BAAQ,"$0.5 - $10mm (Seed - B), per RJ call w/ Nan Li, 04/24/14"
0017000000nz02JAAQ,Approximately $107 MM
0017000000s5zFDAAY,- $8 million
0017000000tdjYoAAI,154 Million
0017000000ugWOhAAM,600 + Balance Sheet
0017000000ukjnRAAQ,NOK 6.0 bn / $1025 mm
0017000000vkklRAAQ,-���115 mm (Approximately $128.7 mm)
0017000000vl0TaAAI,EUR 1.2 bn
0017000000wnTDeAAM,-  $15 million
0017000000xLIcyAAG,�100mm = $154.67mm
0017000000xLXWMAA4,100 Euros = $132 mm
0017000000yMoEoAAK,-$239.6 million
0017000000yQ1kIAAS,$20 Million
0017000000yoXgZAAU,- $100 million
00170000011v4eiAAA,"Approximately $38 mm Source link : http://www.finextra.com/news/announcement.aspx?pressreleaseid=62495"
00170000011vHS1AAM,- $100 million
00170000016VVtmAAG,- Fund Size: $82.86 mm
0017000001HnykSAAR,$100 million
0017000001JO2qBAAT,"- 45.48 mm as on October 13, 2015"
0017000001QXLmVAAX,CLOSED
0017000001RLTMJAA5,Euro 100
0017000001V2cpTAAR,$15 mm - $50 mm
0017000001V3RVMAA3,"2012 Fund: $4.17 bn (~$1bn left to invest)2016: Fund $7.8 bn (launch 2017)"
0017000001V6ZmgAAF,"���1,050 (target)"
0017000001VuZpUAAV,$52mm (targeting)ID,VALUE
0010g00001YIzEfAAL,2 - 3 mm
0017000000NlGZSAA3,($200)
0017000000QftlxAAB,$75 - 100mm
0017000000rZA4wAAG,200-250 mm
0017000000p6Vy4AAE,($300)
0017000000vG1iyAAC,500-600
0017000001RFOSIAA5,100-125ID,VALUE
0017000000NlGD2AAN,na
0017000000NlGDiAAN,na
0017000000NlGDmAAN,na
0017000000NlGFRAA3,na
0017000000NlGciAAF,NA
0017000000NlGjbAAF,na
0017000000NlGlyAAF,~$400mm
0017000000O8BUmAAN,na
0017000000VUA2XAAX,na
0017000000XdtdkAAB,N/A
0017000000YfuQLAAZ,na
0017000000dy2ovAAA,~800mm
0017000000nBDSFAA4,~816
0017000000osIqwAAE,NA
00170000011NOobAAG,10000+
0017000001RKxygAAD,N/A
