ID,VALUE
0010g00001YHz3NAAT,33000000
0010g00001YI67FAAT,25000000
0010g00001YJIPCAA5,395000000
0010g00001YJPVsAAP,711000000
0017000000NlCzzAAF,3850000000
0017000000NlDDDAA3,850000000
0017000000NlDQVAA3,1000000
0017000000NlDWCAA3,870000000
0017000000NlDy9AAF,4335000000
0017000000NlE3GAAV,59000000
0017000000NlFU3AAN,128000000
0017000000NlFXAAA3,1100000000
0017000000NlFgGAAV,9300000000
0017000000NlG8XAAV,270000000
0017000000NlG8jAAF,84000000
0017000000NlGD1AAN,500000000
0017000000NlGD5AAN,303000000
0017000000NlGDDAA3,140000000
0017000000NlGDLAA3,550000000
0017000000NlGDMAA3,550000000
0017000000NlGDQAA3,650000000
0017000000NlGDRAA3,285000000
0017000000NlGDTAA3,1000000000
0017000000NlGDUAA3,425000000
0017000000NlGDVAA3,1600000000
0017000000NlGDXAA3,800000000
0017000000NlGDZAA3,265000000
0017000000NlGDaAAN,100000000
0017000000NlGDdAAN,375000000
0017000000NlGDuAAN,120000000
0017000000NlGE4AAN,735000000
0017000000NlGE9AAN,7500000000
0017000000NlGECAA3,1110000000
0017000000NlGEEAA3,1750000000
0017000000NlGEGAA3,300000000
0017000000NlGEKAA3,30000000
0017000000NlGEPAA3,4750000000
0017000000NlGEQAA3,1400000000
0017000000NlGEUAA3,650000000
0017000000NlGEYAA3,1000000000
0017000000NlGEaAAN,2500000000
0017000000NlGEdAAN,1600000000
0017000000NlGEgAAN,1650000000
0017000000NlGEjAAN,835000000
0017000000NlGElAAN,7400000000
0017000000NlGEnAAN,450000000
0017000000NlGEpAAN,450000000
0017000000NlGEqAAN,3850000000
0017000000NlGErAAN,565000000
0017000000NlGExAAN,150000000
0017000000NlGEyAAN,4800000000
0017000000NlGF0AAN,750000000
0017000000NlGF1AAN,2000000000
0017000000NlGF3AAN,1500000000
0017000000NlGF4AAN,205000000
0017000000NlGF7AAN,225000000
0017000000NlGFBAA3,400000000
0017000000NlGFHAA3,4000000000
0017000000NlGFOAA3,1000000000
0017000000NlGFTAA3,2230000000
0017000000NlGFWAA3,610000000
0017000000NlGFXAA3,418000000
0017000000NlGFaAAN,400000000
0017000000NlGFdAAN,194000000
0017000000NlGFfAAN,3850000000
0017000000NlGFlAAN,300000000
0017000000NlGFnAAN,78000000
0017000000NlGFzAAN,151000000
0017000000NlGG9AAN,250000000
0017000000NlGGHAA3,200000000
0017000000NlGGJAA3,1400000000
0017000000NlGGLAA3,123000000
0017000000NlGGaAAN,350000000
0017000000NlGGgAAN,400000000
0017000000NlGGlAAN,235000000
0017000000NlGGmAAN,600000000
0017000000NlGGxAAN,2000000000
0017000000NlGGyAAN,600000000
0017000000NlGH6AAN,800000000
0017000000NlGH8AAN,3500000000
0017000000NlGHBAA3,125000000
0017000000NlGHEAA3,1270000000
0017000000NlGHKAA3,1035000000
0017000000NlGHOAA3,2000000000
