ID,VALUE
0010g00001YIyzOAAT,1000000000
0017000000NlE1IAAV,-13000000000
0017000000NlGEZAA3,-1000000000
0017000000NlGEcAAN,1000000000
0017000000NlGG3AAN,-2000000000
0017000000NlGH0AAN,1000000000
0017000000NlGZVAA3,2000000000
0017000000NlGZaAAN,-1000000000
0017000000NlGcAAAV,18000000000
0017000000NlGdlAAF,8000000000
0017000000NlGgIAAV,1000000000
0017000000NlGhEAAV,2000000000
0017000000NlGitAAF,9000000000
0017000000NlGkGAAV,1000000000
0017000000NlGkSAAV,-1000000000
0017000000O8fErAAJ,-7000000000
0017000000Piz1wAAB,-1000000000
0017000000QOZkxAAH,4000000000
0017000000Qg6bzAAB,1000000000
0017000000QysjyAAB,-1000000000
0017000000YOGk1AAH,1000000000
0017000000jFowXAAS,1000000000
0017000000rXzj5AAC,1000000000
0017000000xNLUhAAO,1000000000
0017000000yP1hBAAS,-1000000000
0017000000ylrWpAAI,1000000000
0017000000ymeqxAAA,-1000000000
0017000001Dab3HAAR,10000000000
0017000001NVutVAAT,9000000000
0017000001RF1E4AAL,70000000000
0017000001RKKJNAA5,2000000000
0017000001RKcYlAAL,72000000000
0017000001RKqwgAAD,1000000000
0017000001SzuXAAAZ,1000000000
0017000001V3z7eAAB,1000000000
0017000001V3z8DAAR,4000000000
